 Rk,Player,Pos,Age,Tm,PER▼,3PAr,Player-additional
169,Jevon Carter,PG,27,MIL,10.9,.596,carteje01
170,Georges Niang,PF,29,PHI,10.9,.765,niangge01
171,Max Strus,SF,26,MIA,10.8,.713,strusma01
172,Damion Lee,SG,30,PHO,10.7,.546,leeda03
173,Isaac Okoro,SF,22,CLE,10.7,.483,okorois01
174,Joe Harris,SF,31,BRK,10.6,.757,harrijo01
175,Marcus Morris,PF,33,LAC,10.5,.479,morrima03
176,Aaron Nesmith,SF,23,IND,10.5,.532,nesmiaa01
177,Grant Williams,PF,24,BOS,10.3,.611,willigr01
178,Ayo Dosunmu,SG,23,CHI,10.2,.332,dosunay01
179,Killian Hayes,PG,21,DET,10.2,.351,hayeski01
180,Reggie Jackson,PG,32,TOT,10.0,.450,jacksre01
181,Andrew Nembhard,SG,23,IND,10.0,.408,nembhan01
182,Troy Brown Jr.,SF,23,LAL,9.6,.604,browntr01
183,Malaki Branham,SG,19,SAS,9.5,.417,branhma01
184,Dillon Brooks,SF,27,MEM,9.4,.443,brookdi01
185,Dorian Finney-Smith,PF,29,TOT,9.2,.675,finnedo01
186,Royce O'Neale,SF,29,BRK,9.2,.707,onealro01
187,Gabe Vincent,PG,26,MIA,9.0,.617,vincega01
188,Patrick Beverley,SG-PG,34,TOT,8.9,.664,beverpa01
189,Reggie Bullock,SF,31,DAL,7.7,.845,bullore01
190,P.J. Tucker,PF,37,PHI,5.7,.622,tuckepj01
