Rk,Player,PTS,Player-additional
,,,-9999
120,Hamidou Diallo,9.3,diallha01
121,Gorgui Dieng,3.9,dienggo01
122,Ousmane Dieng,4.9,diengou01
123,Spencer Dinwiddie,17.3,dinwisp01
123,Spencer Dinwiddie,17.7,dinwisp01
123,Spencer Dinwiddie,16.5,dinwisp01
124,Donte DiVincenzo,9.4,divindo01
125,Luka Dončić,32.4,doncilu01
126,Tyler Dorsey,3.0,dorsety01
127,Luguentz Dort,13.7,dortlu01
128,Ayo Dosunmu,8.6,dosunay01
129,Devon Dotson,0.5,dotsode01
130,Jeff Dowtin,2.4,dowtije01
131,PJ Dozier,1.4,doziepj01
132,Goran Dragić,6.3,dragigo01
132,Goran Dragić,6.4,dragigo01
132,Goran Dragić,5.6,dragigo01
133,Andre Drummond,6.0,drumman01
134,Chris Duarte,7.9,duartch01
135,David Duke Jr.,3.7,dukeda01
136,Kris Dunn,13.2,dunnkr01
137,Kevin Durant,29.1,duranke01
137,Kevin Durant,29.7,duranke01
137,Kevin Durant,26.0,duranke01
138,Jalen Duren,9.1,durenja01
139,Tari Eason,9.3,easonta01
140,Anthony Edwards,24.6,edwaran01
141,Kessler Edwards,2.8,edwarke02
141,Kessler Edwards,1.1,edwarke02
141,Kessler Edwards,3.9,edwarke02
142,Keon Ellis,1.5,elliske01
143,Joel Embiid,33.1,embiijo01
144,Drew Eubanks,6.6,eubandr01
145,Bruno Fernando,3.9,fernabr01
145,Bruno Fernando,4.1,fernabr01
145,Bruno Fernando,3.4,fernabr01
146,Dorian Finney-Smith,8.3,finnedo01
146,Dorian Finney-Smith,9.1,finnedo01
146,Dorian Finney-Smith,7.2,finnedo01
147,Malachi Flynn,4.6,flynnma01
148,Simone Fontecchio,6.3,fontesi01
149,Bryn Forbes,3.6,forbebr01
150,Trent Forrest,2.3,forretr01
151,Michael Foster Jr.,0.0,fostemi02
152,Evan Fournier,6.1,fournev01
153,De'Aaron Fox,25.0,foxde01
154,Markelle Fultz,14.0,fultzma01
155,Wenyen Gabriel,5.5,gabriwe01
156,Daniel Gafford,9.0,gaffoda01
157,Darius Garland,21.6,garlada01
158,Usman Garuba,3.0,garubus01
159,Luka Garza,6.5,garzalu01
160,Rudy Gay,5.2,gayru01
161,Paul George,23.8,georgpa01
162,Taj Gibson,3.4,gibsota01
163,Josh Giddey,16.6,giddejo01
164,Shai Gilgeous-Alexander,31.4,gilgesh01
165,Anthony Gill,3.3,gillan01
166,Jacob Gilyard,3.0,gilyaja01
167,Rudy Gobert,13.4,goberru01
168,Jordan Goodwin,6.6,goodwjo01
169,Aaron Gordon,16.3,gordoaa01
170,Eric Gordon,12.4,gordoer01
170,Eric Gordon,13.1,gordoer01
170,Eric Gordon,11.0,gordoer01
171,Devonte' Graham,7.4,grahade01
171,Devonte' Graham,5.3,grahade01
171,Devonte' Graham,13.0,grahade01
172,Jerami Grant,20.5,grantje01
173,RaiQuan Gray,16.0,grayra01
174,A.J. Green,4.4,greenaj01
175,Danny Green,5.5,greenda02
175,Danny Green,3.0,greenda02
175,Danny Green,6.5,greenda02
176,Draymond Green,8.5,greendr01
177,Jalen Green,22.1,greenja05
178,JaMychal Green,6.4,greenja01
179,Javonte Green,5.2,greenja02
180,Jeff Green,7.8,greenje02
181,Josh Green,9.1,greenjo02
182,AJ Griffin,8.9,griffaj01
183,Blake Griffin,4.1,griffbl01
184,Quentin Grimes,11.3,grimequ01
185,Rui Hachimura,11.2,hachiru01
185,Rui Hachimura,13.0,hachiru01
185,Rui Hachimura,9.6,hachiru01
186,Tyrese Haliburton,20.7,halibty01
187,Jordan Hall,3.1,halljo02
188,R.J. Hampton,6.4,hamptrj01
188,R.J. Hampton,5.7,hamptrj01
188,R.J. Hampton,7.3,hamptrj01
189,Tim Hardaway Jr.,14.4,hardati02
190,James Harden,21.0,hardeja01
191,Jaden Hardy,8.8,hardyja02
192,Ron Harper Jr.,2.2,harpero02
193,Montrezl Harrell,5.6,harremo01
194,Gary Harris,8.3,harriga01
195,Joe Harris,7.6,harrijo01
196,Kevon Harris,4.1,harrike01
197,Tobias Harris,14.7,harrito02
198,Shaquille Harrison,8.8,harrish01
199,Josh Hart,9.8,hartjo01
199,Josh Hart,9.5,hartjo01
199,Josh Hart,10.2,hartjo01
200,Isaiah Hartenstein,5.0,harteis01
201,Udonis Haslem,3.9,hasleud01
202,Sam Hauser,6.4,hausesa01
203,Jaxson Hayes,5.0,hayesja02
204,Killian Hayes,10.3,hayeski01
205,Gordon Hayward,14.7,haywago01
206,Juancho Hernangómez,2.9,hernaju01
207,Willy Hernangómez,6.9,hernawi01
208,Tyler Herro,20.1,herroty01
209,Buddy Hield,16.8,hieldbu01
210,Haywood Highsmith,4.4,highsha01
211,George Hill,5.0,hillge01
211,George Hill,5.0,hillge01
211,George Hill,5.2,hillge01
212,Malcolm Hill,1.0,hillma01
213,Aaron Holiday,3.9,holidaa01
214,Jrue Holiday,19.3,holidjr01
215,Justin Holiday,4.5,holidju01
215,Justin Holiday,4.5,holidju01
215,Justin Holiday,4.4,holidju01
216,Richaun Holmes,3.1,holmeri01
217,Al Horford,9.8,horfoal01
218,Talen Horton-Tucker,10.7,hortota01
219,Danuel House Jr.,4.8,houseda01
220,Caleb Houstan,3.8,houstca01
221,Trevor Hudgins,1.8,hudgitr01
222,Kevin Huerter,15.2,huertke01
223,Jay Huff,7.3,huffja01
224,De'Andre Hunter,15.4,huntede01
225,Bones Hyland,11.8,hylanbo01
225,Bones Hyland,12.1,hylanbo01
225,Bones Hyland,10.8,hylanbo01
226,Serge Ibaka,4.1,ibakase01
227,Andre Iguodala,2.1,iguodan01
228,Joe Ingles,6.9,inglejo01
229,Brandon Ingram,24.7,ingrabr01
230,Kyrie Irving,27.1,irvinky01
230,Kyrie Irving,27.1,irvinky01
230,Kyrie Irving,27.0,irvinky01
231,Jonathan Isaac,5.0,isaacjo01
232,Jaden Ivey,16.3,iveyja01
233,Frank Jackson,0.0,jacksfr01
234,Isaiah Jackson,7.2,jacksis01
235,Jaren Jackson Jr.,18.6,jacksja02
236,Justin Jackson,0.9,jacksju01
237,Quenton Jackson,6.2,jacksqu01
238,Reggie Jackson,10.2,jacksre01
238,Reggie Jackson,10.9,jacksre01
238,Reggie Jackson,7.9,jacksre01
239,LeBron James,28.9,jamesle01
240,Ty Jerome,6.9,jeromty01
241,Isaiah Joe,9.5,joeis01
242,Alize Johnson,1.8,johnsal02
243,Cameron Johnson,15.5,johnsca02
243,Cameron Johnson,13.9,johnsca02
243,Cameron Johnson,16.6,johnsca02
244,Jalen Johnson,5.6,johnsja05
245,James Johnson,2.8,johnsja01
246,Keldon Johnson,22.0,johnske04
247,Keon Johnson,4.7,johnske07
248,Stanley Johnson,5.8,johnsst04
249,Nikola Jokić,24.5,jokicni01
250,Carlik Jones,2.9,jonesca03
251,Damian Jones,3.5,jonesda03
251,Damian Jones,2.5,jonesda03
251,Damian Jones,4.6,jonesda03
252,Derrick Jones Jr.,5.0,jonesde02
253,Herbert Jones,9.8,joneshe01
254,Kai Jones,3.4,joneska01
255,Tre Jones,12.9,jonestr01
256,Tyus Jones,10.3,jonesty01
257,DeAndre Jordan,5.1,jordade01
258,Cory Joseph,6.9,josepco01
259,Nikola Jović,5.5,jovicni01
260,Johnny Juzang,4.8,juzanjo01
261,Mfiondu Kabengele,1.5,kabenmf01
262,Frank Kaminsky,2.5,kaminfr01
262,Frank Kaminsky,2.7,kaminfr01
262,Frank Kaminsky,1.8,kaminfr01
263,Trevor Keels,1.0,keelstr01
264,Luke Kennard,9.3,kennalu01
264,Luke Kennard,7.8,kennalu01
264,Luke Kennard,11.3,kennalu01
265,Walker Kessler,9.2,kesslwa01
266,Braxton Key,1.3,keybr01
267,Louis King,20.0,kinglo02
268,Corey Kispert,11.1,kispeco01
269,Maxi Kleber,5.9,klebima01
270,Nathan Knight,3.7,knighna01
271,Kevin Knox,6.6,knoxke01
271,Kevin Knox,5.6,knoxke01
271,Kevin Knox,8.5,knoxke01
272,Christian Koloko,3.1,kolokch01
273,John Konchar,5.1,konchjo01
274,Furkan Korkmaz,3.8,korkmfu01
275,Luke Kornet,3.8,kornelu01
276,Vit Krejci,1.2,krejcvi01
277,Jonathan Kuminga,9.9,kuminjo01
278,Kyle Kuzma,21.2,kuzmaky01
279,Anthony Lamb,6.7,lamban01
280,Jock Landale,6.6,landajo01
281,Romeo Langford,6.9,langfro01
282,Jake LaRavia,3.0,laravja01
283,Zach LaVine,24.8,lavinza01
284,A.J. Lawson,3.7,lawsoaj01
284,A.J. Lawson,2.0,lawsoaj01
284,A.J. Lawson,3.9,lawsoaj01
285,Damion Lee,8.2,leeda03
286,Saben Lee,6.0,leesa01
286,Saben Lee,3.0,leesa01
286,Saben Lee,6.3,leesa01
287,Alex Len,1.7,lenal01
288,Kawhi Leonard,23.8,leonaka01
289,Meyers Leonard,4.8,leoname01
290,Caris LeVert,12.1,leverca01
291,Kira Lewis Jr.,4.6,lewiski01
292,Damian Lillard,32.2,lillada01
293,Nassir Little,6.6,littlna01
294,Isaiah Livers,6.7,liveris01
295,Kenneth Lofton Jr.,5.0,loftoke01
296,Kevon Looney,7.0,looneke01
297,Brook Lopez,15.9,lopezbr01
298,Robin Lopez,3.0,lopezro01
299,Kevin Love,8.2,loveke01
299,Kevin Love,8.5,loveke01
299,Kevin Love,7.7,loveke01
300,Kyle Lowry,11.2,lowryky01
301,Trey Lyles,7.6,lylestr01
302,Théo Maledon,6.7,maledth01
303,Sandro Mamukelashvili,6.1,mamuksa01
303,Sandro Mamukelashvili,2.4,mamuksa01
303,Sandro Mamukelashvili,10.8,mamuksa01
304,Terance Mann,8.8,mannte01
305,Tre Mann,7.7,manntr01
306,Boban Marjanović,3.3,marjabo01
307,Lauri Markkanen,25.6,markkla01
308,Naji Marshall,9.1,marshna01
309,Caleb Martin,9.6,martica02
310,Cody Martin,5.0,martico01
311,KJ Martin,12.7,martike04
312,Tyrese Martin,1.3,martity01
313,Garrison Mathews,4.8,mathega01
313,Garrison Mathews,4.8,mathega01
313,Garrison Mathews,4.8,mathega01
314,Bennedict Mathurin,16.7,mathube01
315,Wesley Matthews,3.4,matthwe02
316,Tyrese Maxey,20.3,maxeyty01
317,Skylar Mays,15.3,mayssk01
318,Miles McBride,3.5,mcbrimi01
319,Mac McClung,12.5,mccluma01
320,CJ McCollum,20.9,mccolcj01
321,T.J. McConnell,8.7,mccontj01
322,Jaden McDaniels,12.1,mcdanja02
323,Jalen McDaniels,9.4,mcdanja01
323,Jalen McDaniels,10.6,mcdanja01
323,Jalen McDaniels,6.7,mcdanja01
324,Doug McDermott,10.2,mcderdo01
325,JaVale McGee,4.4,mcgeeja01
326,Bryce McGowens,5.3,mcgowbr01
327,Rodney McGruder,5.7,mcgruro01
328,Jordan McLaughlin,3.7,mclaujo01
329,De'Anthony Melton,10.1,meltode01
330,Sam Merrill,5.0,merrisa01
331,Chimezie Metu,4.9,metuch01
332,Khris Middleton,15.1,middlkh01
333,Patty Mills,6.2,millspa02
334,Shake Milton,8.4,miltosh01
335,Justin Minaya,4.3,minayju01
336,Josh Minott,3.1,minotjo01
337,Davion Mitchell,5.6,mitchda01
338,Donovan Mitchell,28.3,mitchdo01
